GeoName,Description,2012,2013,2014,2015,2016
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Petroleum and coal products manufacturing,"2,443,102 E",2655613,2145123,2354677,2203346
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Chemical manufacturing,"4,792,368 E",5035906,5820033,6203028,(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",          Plastics and rubber products manufacturing,"652,629 E",699463,719011,674808,647662
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Wholesale trade,15455478,(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Retail trade,9727563,10010642,10649506,11247024,11485480
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Motor vehicle and parts dealers,2058921,2227985,2442452,2604577,2630446
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Furniture and home furnishings stores,"445,351 E",481446,(D),533077,563210
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Electronics and appliance stores,"519,714 E",471248,502319,580496,586263
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Building material and garden equipment and supplies dealers,759138,822570,869744,889118,895762
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Food and beverage stores,1601686,1701416,1803236,1937271,2041200
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Health and personal care stores,"768,145 E",831528,882434,871182,902498
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Gasoline stations,305764,335136,375610,403672,418794
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Clothing and clothing accessories stores,"719,563 E",(D),(D),756343,734999
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)","        Sporting goods, hobby, musical instrument, and book stores","216,020 E",281530,277325,308547,294320
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        General merchandise stores,"1,684,649 E",1563013,(D),(D),1766715
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Miscellaneous store retailers,"367,266 E",(D),387906,408206,406017
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Nonstore retailers,233734,191571,224447,(D),245256
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",      Transportation and warehousing,"10,537,102 E",10318936,(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Air transportation,"2,110,261 E",(D),2332970,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Rail transportation,(D),(D),(D),(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Water transportation,"511,540 E",(D),544864,(D),(D)
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Truck transportation,1816413,1944841,2108721,2199160,2067444
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Transit and ground passenger transportation,"161,885 E",137203,145838,142952,138278
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",        Pipeline transportation,"2,605,710 E",1857042,1912411,2084112,2272846
